,country,H,H1,H12,H123,H1_2
0,AGO (An. coluzzii),0.5396825396825397,0.46364883401920437,0.5871056241426611,0.7183356195701874,0.04142011834319528
1,AGO (An. coluzzii),0.564067172762825,0.4394147233653406,0.5514403292181069,0.6784026825179086,0.043964620187304855
2,AGO (An. coluzzii),0.7655087800015337,0.23921658283798203,0.3366102728242646,0.45191281816796225,0.19703727301688437
3,AGO (An. coluzzii),0.8402729852005214,0.1649138850784942,0.23875933546715442,0.31771071483005636,0.24930683918669153
4,AGO (An. coluzzii),0.896633693735143,0.10890108215211095,0.1784026825179088,0.24455113549763752,0.4947515745276417
5,AGO (An. coluzzii),0.9059121233034276,0.09967992684042065,0.14311842706904435,0.19966468526139308,0.4480122324159021
6,AGO (An. coluzzii),0.8478644275745726,0.15736930345983846,0.2604023776863283,0.3436213991769547,0.34527845036319627
7,AGO (An. coluzzii),0.9061421670117322,0.09945130315500683,0.14502362444749275,0.2159731748209114,0.7409961685823754
8,AGO (An. coluzzii),0.8691051299746951,0.1362597165066301,0.21673525377229078,0.31519585429050445,0.45861297539149903
9,AGO (An. coluzzii),0.7697262479871174,0.23502514860539556,0.39094650205761317,0.5535741502819691,0.29377431906614804
10,AGO (An. coluzzii),0.7849858139713213,0.21985977747294616,0.3661789361377838,0.509449778997104,0.2901213171577123
11,AGO (An. coluzzii),0.8031592669273828,0.20179850632525534,0.33409541228471273,0.471269623532998,0.2741691842900305
12,AGO (An. coluzzii),0.4111647879763823,0.5913732662703856,0.6669714982472184,0.7072092668800487,0.009278350515464
13,AGO (An. coluzzii),0.46231117245609993,0.5405426002133822,0.6214753848498705,0.7085810089925317,0.018468913012829605
14,AGO (An. coluzzii),0.4727398205659075,0.5301783264746227,0.6104252400548698,0.6776406035665294,0.016170763260025783
15,AGO (An. coluzzii),0.6943485928993175,0.309937509525987,0.44101508916323734,0.5460295686633135,0.09073026801081895
16,AGO (An. coluzzii),0.8563760447818418,0.1489102270995276,0.27053802773967384,0.3558908702941624,0.5486182190378713
17,AGO (An. coluzzii),0.8559159573652326,0.14936747447035517,0.26596555403139766,0.3502514860539552,0.4834183673469389
18,AGO (An. coluzzii),0.8812974465148378,0.12414266117969819,0.21719250114311842,0.29187623837829596,0.5798035604665439
19,AGO (An. coluzzii),0.921861820412545,0.08382868465172989,0.12086572168876694,0.17916476146928823,0.6686363636363636
20,AGO (An. coluzzii),0.8701786672801165,0.135192805974699,0.2120103642737387,0.3176345069349184,0.5028184892897408
21,AGO (An. coluzzii),0.8365922858676482,0.16857186404511507,0.2795305593659503,0.38317329675354367,0.3887884267631103
22,AGO (An. coluzzii),0.9339007744804846,0.0718640451150739,0.1054717268709038,0.1598841639993903,0.766171792152704
23,AGO (An. coluzzii),0.9371980676328502,0.06858710562414265,0.1005944215820759,0.15058680079256212,0.755
24,AGO (An. coluzzii),0.8818342151675486,0.12360920591373264,0.18091754305746077,0.24813290656912057,0.3190505548705301
25,AGO (An. coluzzii),0.8836745648339852,0.12178021643042217,0.18137479042828833,0.24859015393994813,0.3379224030037546
26,AGO (An. coluzzii),0.8632006747948777,0.14212772443225116,0.20553269318701414,0.2729004724889499,0.2750670241286863
27,AGO (An. coluzzii),0.8227896633693733,0.1822892851699437,0.2591068434689834,0.33135192805974706,0.17035953177257562
28,AGO (An. coluzzii),0.8252434629246224,0.17985063252552966,0.2554488645023624,0.3446121018137479,0.18559322033898326
29,AGO (An. coluzzii),0.8359021547427343,0.16925773510135653,0.24569425392470656,0.3325712543819539,0.21634398919405678
30,AGO (An. coluzzii),0.8863584080975386,0.1191129401005944,0.19913122999542748,0.2859320225575369,0.4357005758157389
31,AGO (An. coluzzii),0.9030749175676712,0.1024996189605243,0.17245846669714981,0.2514860539551898,0.5702602230483271
32,AGO (An. coluzzii),0.8836745648339852,0.12178021643042218,0.2071330589849108,0.2952293857643652,0.49937421777221525
33,AGO (An. coluzzii),0.8296909746185107,0.17543057460752945,0.3294467306812986,0.44604481024234116,0.5201998262380542
34,AGO (An. coluzzii),0.8443370907139022,0.16087486663618358,0.29759183051364124,0.4077122389879592,0.4988157271435341
35,AGO (An. coluzzii),0.6857602944559466,0.3184727937814359,0.4709647919524463,0.5464106081390032,0.09440057430007197
36,AGO (An. coluzzii),0.5429031515988036,0.46044810242341117,0.6479957323578722,0.7074378905654625,0.052548824892419764
37,AGO (An. coluzzii),0.5955064795644506,0.40816948635878675,0.5910684346898337,0.6477671086724585,0.06646751306945493
38,AGO (An. coluzzii),0.5780231577333025,0.42554488645023636,0.6410608139003201,0.7295381801554641,0.08658667621776528
39,AGO (An. coluzzii),0.35173682999769956,0.6504343850022862,0.7495046486816035,0.824188385916781,0.00995899238429995
40,AGO (An. coluzzii),0.5437466451959205,0.45960981557689384,0.5830666057003505,0.6580551745160798,0.03299618637041971
41,AGO (An. coluzzii),0.5680545970401043,0.43545191281816803,0.5554793476604175,0.6286389269928364,0.03526426321316089
42,AGO (An. coluzzii),0.6742581090407177,0.32990397805212623,0.48414875781130917,0.6194939795762839,0.10556710556710577
43,AGO (An. coluzzii),0.7317690361168623,0.27274805669867397,0.39917695473251025,0.5211095869532083,0.12810841017043867
44,AGO (An. coluzzii),0.7349896480331264,0.26954732510288065,0.4003200731595793,0.5222527053802773,0.13994910941475838
45,AGO (An. coluzzii),0.6171305881450809,0.38667885992988876,0.5061728395061729,0.5930498399634203,0.053606621994481685
46,AGO (An. coluzzii),0.7378268537688828,0.266727632982777,0.36907483615302544,0.45686633135192806,0.10842857142857147
